Feature,Importance
learning_engagement_score,15.05326434800745
social_vulnerability_score,11.505527786226331
child_labor_involvement,10.171514310709854
household_income_monthly_usd,9.247773195077597
child_labor_involvement_binary,7.390500780146936
attendance_rate_pct,5.896085631018455
mother_education_level,3.8544248275976445
ngo_intervention_present_binary,3.0338401879338845
ngo_intervention_present,2.3647283921555227
early_marriage_risk_flag_binary,2.277186930569335
distance_to_school_km,2.2178366780430694
bullying_incidents_reported,2.139857609350985
early_marriage_risk_flag,1.8621190212284104
scholarship_received_binary,1.8340378820629493
disciplinary_incidents_count,1.7173793729695703
average_test_score_pct,1.6325995144249177
health_issues_reported,1.4897831947450144
free_meal_program_enrolled,1.4797424952097125
location_type,1.2524422046345967
free_meal_program_enrolled_binary,1.0166771225281261
language_barrier_flag,0.9931610611165278
intervention_support_score,0.9647886661927092
scholarship_received,0.9090748424033928
language_barrier_flag_binary,0.7132073954402287
seasonal_migration_family_binary,0.6504398812187273
report_source,0.6015316477155125
is_orphan_binary,0.5992328512914223
income_per_family_member,0.587882252140097
enrollment_duration_days,0.5622940408285519
mode_of_transport,0.5409743217277827
seasonal_migration_family,0.46920641316992845
household_has_internet_access,0.43851007616061743
is_orphan,0.4295099504133746
teacher_student_ratio,0.3847378827497328
gender,0.38141949452315527
school_type,0.3293527018351119
state_province,0.32561288056502935
grade_level,0.27295882220648066
academic_year,0.2714471217234575
country,0.24265680254777464
family_size,0.24152379225640605
school_infrastructure_score,0.2405469032052773
father_education_level,0.23719978315065599
age,0.1863370722686483
number_of_siblings,0.18449515157410462
extracurricular_participation_binary,0.17046345179418174
digital_access_score,0.13504962330263065
number_of_school_transfers,0.12173586293589572
single_parent_household,0.11389809149800134
extracurricular_participation,0.08985179165228259
literacy_program_enrolled,0.06115035813518312
single_parent_household_binary,0.034369024471520196
owns_smartphone_or_computer_binary,0.027626280500659725
community_conflict_zone,0.015028192220093405
literacy_program_enrolled_binary,0.014734933192435025
household_has_internet_access_binary,0.010914878817764215
owns_smartphone_or_computer,0.009754218414342437
household_has_electricity,0.0
special_needs_status,0.0
previous_year_pass,0.0
community_conflict_zone_binary,0.0
household_has_electricity_binary,0.0
